epoch	loss	prec1	prec5	lr
1	1.7114509344100952	60.60614013671875	75.5666275024414	0.01
2	0.9602608680725098	76.23431396484375	90.97049713134766	0.01
3	0.7669009566307068	81.49500274658203	92.8770751953125	0.01
4	0.6933618783950806	83.43548583984375	93.35176086425781	0.01
5	0.6402439475059509	84.7343521118164	93.93077850341797	0.01
6	0.5944282412528992	85.754150390625	94.494140625	0.01
7	0.5618687272071838	86.64353942871094	94.78104400634766	0.01
8	0.5394604206085205	87.15473937988281	94.98709106445312	0.01
9	0.5177085995674133	87.84329986572266	94.95057678222656	0.01
10	0.5183440446853638	87.68680572509766	95.12010192871094	0.01
11	0.49672776460647583	88.34146118164062	95.28441619873047	0.01
12	0.48130545020103455	88.7457275390625	95.4043960571289	0.01
13	0.4841998517513275	88.49273681640625	95.27659606933594	0.01
14	0.45693597197532654	89.24910736083984	95.59739685058594	0.01
15	0.36476001143455505	91.60950469970703	96.50504302978516	0.001
